,fname,text
0,fx.xyz,"fx.xyz.         True-VFX Docs           Home Products Support    Welcome to True-Docs You will find all the documentations for all our tools here                    Select The Topic You Need Help With           True-Assets Learn how to use True-Assets   Features of our docs   Search Functionality Search for any keyword or phrases to find what you need  Ranking System Give our articles a thumbs up, or a thumbs down. This allows us to better curate problem articles.  Dynamic Guides We've started implementing dynamic guides on some of our support pages. Interactive windows to take you step-by-step through a process.  Recently Modified Articles Changelog Asset-Browser utilities Introduction to AmbientCG Installing AmbientCG First time use Recently Created Articles Asset-Browser utilities Changelog First time use Installing AmbientCG Introduction to AmbientCG Most Read Articles Installing AmbientCG Introduction to AmbientCG First time use Intro To True-Assets Installing True-Assets      Documents Tutorials Store Discord       Copyright ©2023 True-VFX. All rights reserved Home Cookies Contact      "
1,fx.xyz ,"fx.xyz .         True-VFX Docs           Home Products Support    Welcome to True-Docs You will find all the documentations for all our tools here                    Select The Topic You Need Help With           True-Assets Learn how to use True-Assets   Features of our docs   Search Functionality Search for any keyword or phrases to find what you need  Ranking System Give our articles a thumbs up, or a thumbs down. This allows us to better curate problem articles.  Dynamic Guides We've started implementing dynamic guides on some of our support pages. Interactive windows to take you step-by-step through a process.  Recently Modified Articles Changelog Asset-Browser utilities Introduction to AmbientCG Installing AmbientCG First time use Recently Created Articles Asset-Browser utilities Changelog First time use Installing AmbientCG Introduction to AmbientCG Most Read Articles Installing AmbientCG Introduction to AmbientCG First time use Intro To True-Assets Installing True-Assets      Documents Tutorials Store Discord       Copyright ©2023 True-VFX. All rights reserved Home Cookies Contact      "
2,fx.xyz cookie decleration,fx.xyz cookie decleration.        404 Page not found                          
3,fx.xyz docs ambientcg,"fx.xyz docs ambientcg.        AmbientCG           Home Products Support     Beta                 Contents x                True-Assets               Powered by                    AmbientCG     3 Articles  in this category                Contributors                Share this     Print  Share   Dark Light  Contents    AmbientCG 3 Articles in this category          Written by Richard Traynor              Share   Dark Light       Introduction to AmbientCG      True-VFX has officially partnered with AmbientCG to bring their huge library to Blender's asset browser directly though True-Assets  Who are AmbientCG? Ambient CG is ran solely by Lennart Demes. They keep the site up and running, and produce...                    Written by               Richard Traynor                              Updated on : 13 Mar 2023                   Installing AmbientCG      The User Preferences You MUST go to the  [addons] tab of the user preferences after installing True-Assets v4.0. Search for True-Assets and then from there we will address the steps that must be taken to get the AmbientCG library to appear in the ...                    Written by               Richard Traynor                              Updated on : 13 Mar 2023                   First time use      AmbientCG assets in the Asset-Broswer  There are some pre-requisites that must be complete before you will see all the assets. Please ensure that you have followed the steps HERE  before continuing. Getting the Library to load The AmbientCG l...                    Written by               Richard Traynor                              Updated on : 13 Mar 2023                      Documents Tutorials Store Discord       Copyright ©2023 True-VFX. All rights reserved Home Cookies Contact      "
4,fx.xyz docs asset browser utilities,"fx.xyz docs asset browser utilities.        Asset-Browser utilities           Home Products Support     Beta                 Contents x                True-Assets               Powered by              Asset-Browser utilities 21 Mar 2023          5         Minutes to read                 Contributors                Share this     Print  Share   Dark Light  PDF  Contents   Asset-Browser utilities  Updated on 21 Mar 2023             5            Minutes to read                       Contributors              Print  Share   Dark Light  PDF   Edit Assets (True-Assets)The 'Edit assets' function for True-Assets is designed to provide an easy way for users to be able to access the asset (Object, Material, Collection etc) and make changes to that asset so that those changes will be used going forward. Example use-cases of this:You've noticed an issue with the topology of an object, and don't want to keep changing it every time you bring the asset in. Use the edit Asset function to address the issue at the source so future use of the asset will not use the old broken topologyYou've noticed that an object is coming in with the wrong scale for some reason. Use the edit Asset function to change and then apply the scale at the source so future use of the asset will be at the correct scaleA material that you've saved as an asset may have missing textures. Use the edit Asset function to re-link the textures so future use of the asset will not have missing texturesYou should use this feature if you wish to fix any issues that you see, or wish to make changes to the asset. Bear-in-mind that this is a destructive process and all changes will be permanent.Making changesOnce you have made changes in the source file, you MUST save the file. You do not use the save-as feature, just the normal save function and close the blend-file that you made changes in. Then you need to refresh the asset-browser with the little refresh iconRename AssetsThe 'Rename Assets' function, allows you to either quickly add a prefix (something to the beginning) or a suffix (something to the end) of selected assets (single or batch) and manually replace the current name of the asset too.When you have a selection of assets (either single, or multiple) and use the rename function, a floating window will appear for you to input text to make changes.Single asset renameIf you have only one asset selected for rename, then a box will appear with the option for a prefix, suffix and then you'll see the ""old name/s"" (current name) and an input box for what you want the new name to be.Prefix will append characters or words to the beginning of the current nameSuffix will append characters or words to the end of the current nameNew name will replace the current nameFor example, if you have the object named as ""Tree"" and apply the prefix ""True-VFX_"" and the suffix ""_LOD1"" then this will change the name of the object from ""Tree"" to ""True-VFX_Tree_LOD1""Multiple assets renameIf you have only multiple assets selected for rename, then a box will appear with the option for a prefix, suffix and then you'll see a list of  ""old name/s"" (current name) and an input boxes for what you want the new names to be.Prefix will append characters or words to the beginning of the current nameSuffix will append characters or words to the end of the current nameNew names will replace the current namesFor example, if you have multiple objects named different things, and you wish to standardise these like we do, then you would use a distinguishing prefix like ""True-VFX_"" then press okay, and your list of objects would now be renamed with the changes. Old NamesNew namesCube.001True-VFX_Cube.001Tree.001True-VFX_Tree.001Tree.002True-VFX_Tree.002Suzanne.001True-VFX_Suzanne.001Robot_Final.001True-VFX_Robot_Final.001Car_Audi_Final_SeriousFinal03True-VFX_Car_Audi_Final_SeriousFinal03ReallyWithTheseNames?.001True-VFX_ReallyWithTheseNames?.001CaveatsThings to be aware ofRename function will NOT automatically numerate (001/002/003etc) any renamed assets. If you rename a batch, they will ALL have matching names. Blender will auto-number assets when brought into the scene.Rename function is not designed as a fix for bad/poor naming.Rename function will ONLY rename object names, material names, collection names. It cannot rename mesh dataRename function does NOT rename any of the meta data for assets. You should use the ""update asset data"" function for thisThis is a destructive process. Renaming cannot be undone as the process happens inside the source file which is updated and saved and closed automatically. No history is stored for this!Update Asset DataThe 'Update Asset Data' function is designed to allow the management of Asset-Browser meta-data like tags, descriptions, and Author. This function will amend ALL the selected assets under this process. This process doesn't have any kind of logic to provide context aware descriptions or tags. For example, if you select 5 totally different assets (Trees, cars, buildings) It will NOT know that they are different and cannot selectively tag based on what that asset is. This is a manual process and user-intent is how this process will update the data.TagsThere is no character or word limit on tags. Tags must be separated by a comma (,) if you wish to add multiple tags. You can use spaces and any other character in the words for tags, however a comma will AWLAYS break tags up.Conventionally, you should use separate words to tag things. for example if you wish to tag a selection of tall buildings, then you should not use the tag [Tall Buildings]; you should tag it like this: [Tall],[Building]. Now when you search for Tall OR Building, then they can be indexed correctly and shown to you in a logical manner.Replace or AddThis toggle is for Tags only! This will allow you to batch replace all tags on an asset, or batch add to current tags on an asset.AuthorThis can be any length, but should be used to identify who made the asset. If the asset already has an Author then using whether you have Replace or Add selected, the Author will always be replaced/overwritten. DescriptionThis input box is for adding descriptions to assets. Again this needs user-intent and cannot be dynamic. Whatever you put in this input box, will also always replace the current description that is there. Clear Assets (True-Assets)This function is designed for removing assets, specifically selected/selections of assets.You will need to have assets selected to use this function, or you will not be given the option to use it. If you wish to delete specific types of assets, then use the ""Clear Assets by Type (True-Assets)"" function.Delete DataThis will specifically delete the the actual asset file, and not just unmark it as an asset. For example, using this function on object ""cube.001"" if you check Delete Data, then the cube object will be deleted. If you do not, then the asset will just be cleared (un-asseted) but will remain in the blend file as an object.Delete Linked DataThis will remove any materials, textures, node-groups etc from that asset. For example, if you had object ""cube.001"" and this had a material on called ""material.001"" using textures called ""textures.001"" then bot the material, and those textures would also be deleted from the source file of the asset. Leaving this unchecked could leave those as residual files in that blend file.Delete Blend file if no other asset is found!This does exactly what it says on the tin. If the blend file that houses assets is now completely ""asset"" free, then the blend file will also be deleted. This is a destructive process, and will delete the blend file even if there is other data in it. If that data is not an ""asset"" then it is deemed irrelevant and the file will be deleted anyway.  Was this article helpful? Yes    No     Thank you for your feedback! Our team will get back to you How can we improve this article? Your feedback  Need more information Difficult to understand Inaccurate or irrelevant content Missing/broken link Others Comment Comment (Optional) Character limit : 500 Please enter your comment Email (Optional) Email Notify me about change Please enter a valid email Cancel  What's Next           Creating Kitbash Assets            Table of contents                Edit Assets (True-Assets)                             Rename Assets                             Update Asset Data                             Clear Assets (True-Assets)                       Documents Tutorials Store Discord       Copyright ©2023 True-VFX. All rights reserved Home Cookies Contact      "
5,fx.xyz docs author richardtraynor,fx.xyz docs author richardtraynor.        Richard Traynor                 Author: Richard Traynor   Articles (17) Back to article           Changelog         21 Mar 2023           Asset-Browser utilities         21 Mar 2023           Introduction to AmbientCG         13 Mar 2023           Installing AmbientCG         13 Mar 2023           First time use         13 Mar 2023           Uber Shader         11 Feb 2023           Plastic Shader         11 Feb 2023           Organic Shader         11 Feb 2023           Create Assets from OBJ         09 Feb 2023           Create Assets from FBX         09 Feb 2023           Creating Assets from Directory         09 Feb 2023           Creating assets from Current file         09 Feb 2023           Intro To True-Assets         09 Feb 2023           Installing True-Assets         09 Feb 2023           Creating Materials         08 Feb 2023           Creating Kitbash Assets         08 Feb 2023           Create Materials         08 Feb 2023        
6,fx.xyz docs create assets from fbx,"fx.xyz docs create assets from fbx.        Create Assets from FBX and OBJ           Home Products Support     Beta                 Contents x                True-Assets               Powered by              Create Assets from FBX 09 Feb 2023          1         Minute to read                 Contributors                Share this     Print  Share   Dark Light  PDF  Contents   Create Assets from FBX  Updated on 09 Feb 2023             1            Minute to read                       Contributors              Print  Share   Dark Light  PDF   True-Assets allows users to create (mark) assets directly from source FBX or OBJ files. These files DO NOT need to already be inside a .blend file to be imported.FBX and OBJ import functionsBy Default, using either of these options will use Blender's built-in FBX and OBJ importer. Due to user requests, we integrated a bridge function in True-Assets, so that if you use the Better FBX addon, this can be used instead. This must be updated in the user preferencesCreate from FBXImport UIOnce you select this option, a blender file viewer will open. From here you need to either select a directory with FBX files in, OR select an FBX file. True-Assets can auto-import multiple files by recursively searching through sub-directories for the requested file types; just navigate to a directory that has sub-directories in with the needed files and then finish the process.Thumbnail shading: Choose the type of thumbnail rendering you wish to have between Solid (grey unlit); Material (unlit material preview); Eevee (lit Eevee render); or Cycles (Path traced lit). Choosing between Material, Eevee, and Cycles will provide you with camera options and the option to add a white ground plane. If the ground plane is not chosen, the image will be rendered with a transparent background.Thumbnail RenderingPlease be aware that different render engines may increase the process time. Eevee may not always be the fastest. Cycles can be quicker in come cases. Pack External Data: Pack all the image textures and other data. This helps if you plan to move the source files and their data later, which can break texture paths.What to do for existing files:These are options for managing potential duplicate data. SKIP will ignore anything that has the same data as assets already in your library; OVERRIDE will overwrite the content already in your asset library if any data matches the new import; CREATE NEW will rename the data to ensure no loss of data or failed imports due to matching data already in your library.NOTICEThese functions can be best explained using the Blender.org documents HERE. If you are using the Better FBX import module, then please use the documents they provide for help with the importer settings for FBX files.WE DO NOT HAVE ANY CONTROL OVER THESE OPTIONS. WE ONLY CALL THE SETTINGS FROM BLENDER (BETTER FBX)  Was this article helpful? Yes    No     Thank you for your feedback! Our team will get back to you How can we improve this article? Your feedback  Need more information Difficult to understand Inaccurate or irrelevant content Missing/broken link Others Comment Comment (Optional) Character limit : 500 Please enter your comment Email (Optional) Email Notify me about change Please enter a valid email Cancel  What's Next           Create Assets from OBJ            Table of contents                Create from FBX                       Documents Tutorials Store Discord       Copyright ©2023 True-VFX. All rights reserved Home Cookies Contact      "
7,fx.xyz docs create assets from obj,"fx.xyz docs create assets from obj.        Create Assets from OBJ           Home Products Support     Beta                 Contents x                True-Assets               Powered by              Create Assets from OBJ 09 Feb 2023          1         Minute to read                 Contributors                Share this     Print  Share   Dark Light  PDF  Contents   Create Assets from OBJ  Updated on 09 Feb 2023             1            Minute to read                       Contributors              Print  Share   Dark Light  PDF   True-Assets allows users to create (mark) assets directly from source FBX or OBJ files. These files DO NOT need to already be inside a .blend file to be imported.FBX and OBJ import functionsBy Default, using either of these options will use Blender's built-in FBX and OBJ importer. Due to user requests, we integrated a bridge function in True-Assets, so that if you use the Better FBX addon, this can be used instead. This must be updated in the user preferencesCreate from OBJImport UIOnce you select this option, a blender file viewer will open. From here you need to either select a directory with FBX files in, OR select an FBX file. True-Assets can auto-import multiple files by recursively searching through sub-directories for the requested file types; just navigate to a directory that has sub-directories in with the needed files and then finish the process.Thumbnail shading: Choose the type of thumbnail rendering you wish to have between Solid (grey unlit); Material (unlit material preview); Eevee (lit Eevee render); or Cycles (Path traced lit). Choosing between Material, Eevee, and Cycles will provide you with camera options and the option to add a white ground plane. If the ground plane is not chosen, the image will be rendered with a transparent background.Thumbnail RenderingPlease be aware that different render engines may increase the process time. Eevee may not always be the fastest. Cycles can be quicker in come cases. Pack External Data: Pack all the image textures and other data. This helps if you plan to move the source files and their data later, which can break texture paths.What to do for existing files:These are options for managing potential duplicate data. SKIP will ignore anything that has the same data as assets already in your library; OVERRIDE will overwrite the content already in your asset library if any data matches the new import; CREATE NEW will rename the data to ensure no loss of data or failed imports due to matching data already in your library.Importer SettingsNOTICEThese functions can be best explained using the Blender.org documents HERE. If you are using the Better FBX import module, then please use the documents they provide for help with the importer settings for OBJ files.WE DO NOT HAVE ANY CONTROL OVER THESE OPTIONS. WE ONLY CALL THE SETTINGS FROM BLENDER (BETTER FBX)  Was this article helpful? Yes    No     Thank you for your feedback! Our team will get back to you How can we improve this article? Your feedback  Need more information Difficult to understand Inaccurate or irrelevant content Missing/broken link Others Comment Comment (Optional) Character limit : 500 Please enter your comment Email (Optional) Email Notify me about change Please enter a valid email Cancel  What's Next           Create Materials            Table of contents                Create from OBJ                       Documents Tutorials Store Discord       Copyright ©2023 True-VFX. All rights reserved Home Cookies Contact      "
8,fx.xyz docs create materials,"fx.xyz docs create materials.        Create Materials           Home Products Support     Beta                 Contents x                True-Assets               Powered by              Create Materials 08 Feb 2023          2         Minutes to read                 Contributors                Share this     Print  Share   Dark Light  PDF  Contents   Create Materials  Updated on 08 Feb 2023             2            Minutes to read                       Contributors              Print  Share   Dark Light  PDF   True-Assets allows users to create materials to be used as assets, directly from a directory on your local network/machine. This means you can point this function at a folder of textures which are not already materials, and convert all the raw textures to usable materials inside of Blender.Material Creation LimitationsMaterial creation can only be so accurate in terms of the maps we identify. We use specific tag lookups in texture names to identify what type of maps are being used, and where to plug these into the shader tree. Please bear this in mind if you're using textures that don't follow a conventional naming scheme for their texture maps.The ImporterWhen clicking ""Create Materials"" a file-explorer window will open. Navigate to a directory that has textures in like pictured above. Texture sets should ALWAYS be in their own sub-folder like shown above to work as intended; If texture maps are not organised in such a way, True-Assets may fail this operation.True-Assets will recursively search folders in a downward path to find the texture sets, and then maps it needs to create materials. True-Assets cannot search up a path to find textures. Mark as AssetThis will make sure that all texture maps that are found and converted will be marked for future use in your Asset BrowserCatalogThis dropdown option will allow you to put the chosen .blends into a new or existing catalog.Pack ImagesThis function will pack all textures into the new .blend file that is created in your asset directory. This helps make sure that textures are not lost if you move the source directory. THIS WILL LEAD TO MORE STORAGE BEING USEDShader TypesThere are currently 4 types of shader that can be used. These all have different properties and use-cases.Uber ShaderThis shader is based on the Principled shader workflow, however is set up with a custom node-group which will give options to adjust the effectiveness of your texture maps (For example, you can change the roughness factor of your roughness image map) See Uber shader for more information on this.Plastic ShaderThis shader is based on the Pricipled shader workflow also, however it does not have as broad a range of options, and focuses solely on materials that should have plastic-type properties. (For example, adjusting plastic transparency and Subsurface Scattering) See Plastic shader for more information on this.Organic ShaderThis shader is based on a principled and translucency workflow. This shader works to make organic textures and materials look correct by offering ""translucency"" for making things such as Flora allow light to pass through (used on planar meshes) and for allowing Manifold meshes (meshes with a volume with no holes) let light pass through using the Subsurface Scattering values. See Organic shader for more information on this.Standard ShaderThis shader just uses a basic principled node and connects the maps to the correct inputs. This is not in a node-group and allows for user editing. SearchPopulating this search function will make True-Assets importer ONLY bring in materials with what you have searched for. For example, if you populate this with ""rock"" then only texture sets with the term ""rock"" in their name, will be brought in as assets.Default ValuesThis is so that you can set specific values for the custom shaders on import. When you set these, all the texture sets brought in during this instance of the process will have these values set as their default. This is useful if you have a set of textures that are similar and now what you'd like their global values to be.  Was this article helpful? Yes    No     Thank you for your feedback! Our team will get back to you How can we improve this article? Your feedback  Need more information Difficult to understand Inaccurate or irrelevant content Missing/broken link Others Comment Comment (Optional) Character limit : 500 Please enter your comment Email (Optional) Email Notify me about change Please enter a valid email Cancel  What's Next           Introduction to AmbientCG            Table of contents                The Importer                       Documents Tutorials Store Discord       Copyright ©2023 True-VFX. All rights reserved Home Cookies Contact      "
9,fx.xyz docs creating assets from current file,"fx.xyz docs creating assets from current file.        Creating assets from Current file           Home Products Support     Beta                 Contents x                True-Assets               Powered by              Creating assets from Current file 09 Feb 2023          2         Minutes to read                 Contributors                Share this     Print  Share   Dark Light  PDF  Contents   Creating assets from Current file  Updated on 09 Feb 2023             2            Minutes to read                       Contributors              Print  Share   Dark Light  PDF   This function is similar to Creating Assets from Directory in that most of the same functions will be available to you except for the Kitbash import options and save as a single blend file. These are removed here because those processes can only be done under specific conditions which are not met while inside an active blend file.Intended useThis functions intended use is to mark content in a working file, ONCE you are done working in it, and wish to close the project. This functions will prompt you to save the file if we detect no save tags have been written. If you have already saved this file, you will see a new pop-up window in the 3d viewport.ONCE YOU HAVE FINALISED THE OPTIONS IN THE POPUP, THE FILE WILL CLOSE AND RUN THE PROCESS IN THE BACKGROUND. THIS IS SUPPOSED TO HAPPEN.Menu SettingsBelow is the menu that will appear in the 3d viewport when this option is clicked. This is the ""Mark asset and quit"" modal and mirrors similar options to the ""mark assets from directory"" function.What to save: Choose between everything in the file, data that is NOT already marked as an asset, or just ALREADY marked assets.Objects: This will open up options for all object types.Thumbnail shading: Choose the type of thumbnail rendering you wish to have between Solid (grey unlit); Material (unlit material preview); Eevee (lit Eevee render); or Cycles (Path traced lit). Choosing between Material, Eevee, and Cycles will provide you with camera options and the option to add a white ground plane. If the ground plane is not chosen, the image will be rendered with a transparent background.Thumbnail RenderingPlease be aware that different render engines may increase the process time. Eevee may not always be the fastest. Cycles can be quicker in come cases.Object Data types: Selecting the following will bring them in to be marked as an asset. (Read below for Kitbash options) Clear materials: This has caused some confusion in the past where users thought this clears the materials from the object, but this is different from what it does. It only removes their asset data, so they don’t appear in the object section of the True-Asset library. Move Origin to Bottom: Enabling this option will identify the lowest face of the object based on its average data and set that point as the origin point.Materials: Selecting this will allow materials to be brought in as their asset type (THIS DOES NOT MEAN THE MATERIALS ALREADY ON OBJECTS): Minimum Nodes: True-Assets tries to avoid materials that it thinks are not important, like default materials and materials with less than a specified number of nodes. You can set this number using this field. Node Groups: Currently, only Shader node groups are supported(though you can save Geometry Node groups by using right-click>’ Mark as Asset’ in the geometry node editor). The thumbnails for Node Groups are rendered using a Shader ball. You can choose the render engine you want to use for thumbnails since some nodes (like bevel) only work in Cycles.Worlds: This will bring in any ""world"" data that was in the source fileCatalog: This dropdown option will allow you to put the chosen .blends into a new or existing catalog.  Was this article helpful? Yes    No     Thank you for your feedback! Our team will get back to you How can we improve this article? Your feedback  Need more information Difficult to understand Inaccurate or irrelevant content Missing/broken link Others Comment Comment (Optional) Character limit : 500 Please enter your comment Email (Optional) Email Notify me about change Please enter a valid email Cancel  What's Next           Creating Assets from Directory            Table of contents                Menu Settings                        Documents Tutorials Store Discord       Copyright ©2023 True-VFX. All rights reserved Home Cookies Contact      "
